,ID,Region,Date,Weekday,Apartment,Beds,Review,Pic Quality,Price,Accept
0,1,1,64,2,1,1,4.92307843,0.683932058,284.7341653,0
1,2,9,41,7,1,1,4.842211473,0.958799928,295.0517333,0
2,3,2,275,3,1,3,4.702330999,0.5001335729999999,385.0703702,0
3,4,8,323,2,1,1,4.388124788,0.98608206,204.3535876,0
4,5,3,311,4,0,1,3.868993969,0.652980193,285.48810469999995,0
5,6,5,346,4,1,2,3.961616397,0.9464949909999999,367.0271294,0
6,7,6,334,6,1,2,4.952881507,0.908809448,373.4305733,1
7,8,6,152,6,1,1,4.916215023,0.6233432329999999,344.20806810000005,0
8,9,10,201,6,1,2,3.859156065,0.6846174290000001,368.03771800000004,0
9,10,2,290,4,1,2,4.747224161,0.9317345920000001,343.69073960000003,1
10,11,7,315,1,1,2,3.899131427,0.728958236,330.0802645,0
11,12,1,118,7,1,1,4.793933513,0.974079805,270.04979280000003,1
12,13,8,302,2,1,2,4.954908464,0.983315499,349.234721,0
13,14,9,90,7,1,1,4.884518624,0.831085185,284.591815,0
14,15,1,187,6,1,2,4.832979995,0.9554350709999999,555.6753244,0
15,16,4,179,5,1,1,4.435646495,0.764145772,244.29538939999998,1
16,17,7,274,2,0,2,4.312427924,0.682798131,360.5614402,0
17,18,2,250,6,1,1,4.934813824,0.919758072,355.75057630000003,0
18,19,6,240,3,1,2,4.246794454,0.767447537,342.79066760000006,0
19,20,10,35,1,1,1,4.692855109,0.534941362,345.97312819999996,0
20,21,9,301,1,0,1,4.908769243,0.706126679,398.2920827,0
21,22,2,79,3,1,1,4.044098271,0.857921493,311.0657336,0
22,23,4,223,7,0,1,4.482587389,0.584479613,230.4834832,1
23,24,3,351,2,1,1,3.909105325,0.628876323,162.234227,0
24,25,1,344,2,0,1,4.376895745,0.280021764,198.9640683,0
25,26,8,222,6,0,1,4.846926163,0.735764876,270.7989998,1
26,27,8,44,3,0,1,4.358680581000001,0.328427538,129.45702849999998,0
27,28,8,126,1,1,2,4.814438639,0.896944757,348.2751434,0
28,29,8,228,5,0,2,4.622103006000001,0.342291471,299.97774460000005,1
29,30,3,1,2,1,2,4.875670069,0.301490604,286.9244617,0
30,31,6,342,7,0,2,3.4185276819999997,0.6354431429999999,212.1925679,1
31,32,8,322,1,1,2,3.439064587,0.594884137,282.80962789999995,0
32,33,9,195,7,1,2,4.323963893999999,0.34116040799999997,328.92996289999996,0
33,34,8,150,4,1,3,3.0,0.669004178,355.19435539999995,0
34,35,9,294,1,1,2,4.91058862,0.783018883,387.2376454,0
35,36,3,68,6,1,2,4.793709818,0.844761159,344.9133203,1
36,37,9,50,2,1,1,4.986288094,0.89827998,189.5734165,0
37,38,9,209,7,0,3,4.921303455,0.86151424,539.5152163,0
38,39,3,251,7,1,1,4.2408414919999995,0.527805207,262.27977769999995,0
39,40,8,135,3,1,1,4.977861928,0.21602968600000003,242.05588319999998,0
40,41,4,33,6,1,1,4.688407557,0.7491282029999999,356.383577,0
41,42,4,146,7,1,2,4.635146552,0.04773325,330.9824788,0
42,43,6,324,3,0,1,4.682753163,0.760703288,257.7949244,0
43,44,8,266,1,0,2,4.813991802,0.9668920240000001,460.1461612,0
44,45,2,258,7,1,1,3.5975678739999997,0.6909766970000001,112.13056470000001,1
45,46,5,7,1,1,1,4.926791716,0.923017385,213.8744852,1
46,47,7,333,5,0,2,3.0984559039999997,0.9021541679999999,189.1804734,1
47,48,4,81,5,1,1,4.420888547,0.69748315,225.4013367,1
48,49,1,24,4,0,2,4.945920137,0.925858119,534.5224749,0
49,50,4,203,1,0,2,3.0,0.60983165,258.61649520000003,0
50,51,9,32,5,1,1,3.0,0.777826955,93.50991616,1
51,52,8,238,1,1,2,4.447352137,0.889565084,453.08970189999997,0
52,53,1,108,4,1,3,4.477255958,0.777978457,454.6926554,0
53,54,6,272,7,0,1,4.797391526,0.541064566,395.366228,0
54,55,5,258,7,1,1,4.752593892,0.48295311799999996,278.9607129,0
55,56,2,362,6,1,3,4.794712085,0.8165142409999999,566.3430496,0
56,57,8,14,1,1,2,3.402558255,0.8738230929999999,324.1769375,0
57,58,7,292,6,1,1,4.855686953,0.391804755,358.2950531,0
58,59,7,354,5,1,1,4.814069311,0.8425693120000001,286.7824935,0
59,60,10,208,6,1,2,4.6628948789999995,0.9514203309999999,374.8045909,0
60,61,10,283,4,1,2,4.203058545,0.690229613,401.3753043,0
61,62,10,176,2,1,1,4.832896796,0.8681792079999999,357.2351848,0
62,63,1,47,6,1,1,3.3997961739999996,0.84872987,200.6048591,0
63,64,5,14,1,1,1,4.302241172,0.798603939,343.8406439,0
64,65,9,87,4,1,1,4.755907237,0.921046664,314.63548829999996,0
